% 1. Title: Airfoil Self-Noise Data
@RELATION	NoiseData


@ATTRIBUTE	Frequency	NUMERIC
@ATTRIBUTE	Angle_of_Attack	NUMERIC
@ATTRIBUTE	Chord_Length	NUMERIC
@ATTRIBUTE	Free-stream_velocity	NUMERIC
@ATTRIBUTE	Suction_side_displacement	NUMERIC
@ATTRIBUTE	Scaled_sound_pressure	NUMERIC

@DATA
0.040404040404,0.0,1.0,1.0,0.0390047215149,0.580237721701
0.0530303030303,0.0,1.0,1.0,0.0390047215149,0.600180817401
0.0707070707071,0.0,1.0,1.0,0.0390047215149,0.643789719999
0.0909090909091,0.0,1.0,1.0,0.0390047215149,0.640332916744
0.116161616162,0.0,1.0,1.0,0.0390047215149,0.59007631558
0.14898989899,0.0,1.0,1.0,0.0390047215149,0.580237721701
0.191919191919,0.0,1.0,1.0,0.0390047215149,0.523333421969
0.242424242424,0.0,1.0,1.0,0.0390047215149,0.476533624059
0.308080808081,0.0,1.0,1.0,0.0390047215149,0.429733826149
0.393939393939,0.0,1.0,1.0,0.0390047215149,0.366181827851
0.494949494949,0.0,1.0,1.0,0.0390047215149,0.319382029941
0.621212121212,0.0,1.0,1.0,0.0390047215149,0.235621028
0.79797979798,0.0,1.0,1.0,0.0390047215149,0.14202143218
0.0151515151515,0.0,1.0,0.60101010101,0.0418910896622,0.612545536735
0.0217171717172,0.0,1.0,0.60101010101,0.0418910896622,0.646581753397
0.030303030303,0.0,1.0,0.60101010101,0.0418910896622,0.656952163161
0.040404040404,0.0,1.0,0.60101010101,0.0418910896622,0.627170473582
0.0530303030303,0.0,1.0,0.60101010101,0.0418910896622,0.603770574627
0.0707070707071,0.0,1.0,0.60101010101,0.0418910896622,0.627702289467
0.0909090909091,0.0,1.0,0.60101010101,0.0418910896622,0.617863695589
0.116161616162,0.0,1.0,0.60101010101,0.0418910896622,0.551120801978
0.14898989899,0.0,1.0,0.60101010101,0.0418910896622,0.527986810966
0.191919191919,0.0,1.0,0.60101010101,0.0418910896622,0.471348419177
0.242424242424,0.0,1.0,0.60101010101,0.0418910896622,0.431462227777
0.308080808081,0.0,1.0,0.60101010101,0.0418910896622,0.388119233121
0.393939393939,0.0,1.0,0.60101010101,0.0418910896622,0.348233041721
0.494949494949,0.0,1.0,0.60101010101,0.0418910896622,0.257824341213
0.621212121212,0.0,1.0,0.60101010101,0.0418910896622,0.204642752679
0.0,0.0,1.0,0.199494949495,0.0465552358018,0.392187624644
0.00252525252525,0.0,1.0,0.199494949495,0.0465552358018,0.423830669822
0.00580808080808,0.0,1.0,0.199494949495,0.0465552358018,0.515834817986
0.010101010101,0.0,1.0,0.199494949495,0.0465552358018,0.569814130348
0.0151515151515,0.0,1.0,0.199494949495,0.0465552358018,0.626984338022
0.0217171717172,0.0,1.0,0.199494949495,0.0465552358018,0.671390964448
0.030303030303,0.0,1.0,0.199494949495,0.0465552358018,0.683888637754
0.040404040404,0.0,1.0,0.199494949495,0.0465552358018,0.651979684633
0.0530303030303,0.0,1.0,0.199494949495,0.0465552358018,0.588161778392
0.0707070707071,0.0,1.0,0.199494949495,0.0465552358018,0.549605126705
0.0909090909091,0.0,1.0,0.199494949495,0.0465552358018,0.540032440769
0.116161616162,0.0,1.0,0.199494949495,0.0465552358018,0.479139521898
0.14898989899,0.0,1.0,0.199494949495,0.0465552358018,0.450421464089
0.191919191919,0.0,1.0,0.199494949495,0.0465552358018,0.421437498338
0.242424242424,0.0,1.0,0.199494949495,0.0465552358018,0.383146754594
0.308080808081,0.0,1.0,0.199494949495,0.0465552358018,0.341665115537
0.393939393939,0.0,1.0,0.199494949495,0.0465552358018,0.30310846385
0.494949494949,0.0,1.0,0.199494949495,0.0465552358018,0.232908766985
0.621212121212,0.0,1.0,0.199494949495,0.0465552358018,0.165899965432
0.0,0.0,1.0,0.0,0.0501973276685,0.367351822799
0.00252525252525,0.0,1.0,0.0,0.0501973276685,0.404578934773
0.00580808080808,0.0,1.0,0.0,0.0501973276685,0.515462546866
0.010101010101,0.0,1.0,0.0,0.0501973276685,0.576089557795
